Name	Lat	Lng	Type	Verses	Source	Confidence	SourceDetail
Abarim	31.7539	35.7152	region	Num.27.12,Num.33.47,Num.33.48,Deut.32.49,Jer.22.20	gnosis	medium	openbible
Abel-keramim	31.87561	36.00486	city	Judg.11.33	gnosis	medium	openbible
Abel-maim	31.914888	35.530445	city	2Chr.16.4	gnosis	medium	openbible
Abel-mizraim	31.914888	35.530445	city	Gen.50.11	gnosis	medium	openbible
Abiezer	32.6057	35.29	city	Judg.8.2	gnosis	medium	openbible
Abronah	29.530676	34.999999	city	Num.33.34,Num.33.35	gnosis	medium	openbible
Acco	32.921111	35.088333	city	Judg.1.31	gnosis	medium	openbible
Achaia	38.72	22.54	region	Acts.18.12,Acts.18.27,Acts.19.21,Rom.15.26,1Cor.16.15,2Cor.1.1,2Cor.9.2,2Cor.11.10,1Thess.1.7,1Thess.1.8	gnosis	medium	openbible
Adadah	31.15214	34.97907	city	Josh.15.22	gnosis	medium	openbible
Adamah	32.799722	35.459722	city	Josh.19.36	gnosis	medium	openbible
Adar	30.583378	34.484081	city	Josh.15.3	gnosis	medium	openbible
Addon	32.543333	44.422222	city	Neh.7.61	gnosis	medium	openbible
Adithaim	31.963319	34.951764	city	Josh.15.36	gnosis	medium	openbible
Adria	38	19	sea	Acts.27.27	gnosis	medium	openbible
Ai	31.9166759	35.2615767	city	Gen.12.8,Gen.13.3,Josh.7.2,Josh.7.3,Josh.7.4,Josh.7.5,Josh.8.1,Josh.8.2,Josh.8.3,Josh.8.9,Josh.8.10,Josh.8.11,Josh.8.12,Josh.8.14,Josh.8.16,Josh.8.17,Josh.8.18,Josh.8.20,Josh.8.21,Josh.8.23,Josh.8.24,Josh.8.25,Josh.8.26,Josh.8.28,Josh.8.29,Josh.9.3,Josh.10.1,Josh.10.2,Josh.12.9,Ezra.2.28,Neh.7.32	gnosis	medium	theographic
Ai	31.80052000870321	35.80901866717255	city	Jer.49.3	gnosis	medium	theographic
Aiath	31.916944	35.261111	city	Isa.10.28	gnosis	medium	openbible
Aija	31.916944	35.261111	city	Neh.11.31	gnosis	medium	openbible
Akeldama	31.76841	35.23288	landmark	Acts.1.19,Matt.27.8	gnosis	medium	openbible
Alexandria	31.1825	29.8965	city	Acts.18.24,Acts.27.6,Acts.28.11	gnosis	medium	openbible
Allammelech	32.771772	35.155668	city	Josh.19.26	gnosis	medium	openbible
Allon-bacuth	31.922778	35.241389	landmark	Gen.35.8	gnosis	medium	openbible
Almon	31.824903	35.273498	city	Josh.21.18	gnosis	medium	openbible
Almon-diblathaim	31.638727	35.826578	city	Num.33.46,Num.33.47	gnosis	medium	openbible
Alush	28.770311	33.767493	city	Num.33.13,Num.33.14	gnosis	medium	openbible
Amalek	30.648333	34.422222	region	Exod.17.8,Exod.17.9,Exod.17.10,Exod.17.11,Exod.17.13,Exod.17.14,Exod.17.16,Num.24.20,Deut.25.17,Deut.25.19,1Sam.15.2,1Sam.15.3,1Sam.15.5,1Sam.15.8,1Sam.15.20,1Sam.28.18,2Sam.8.12,1Chr.18.11	gnosis	medium	openbible
Amam	31.2185	34.90684	city	Josh.15.26	gnosis	medium	openbible
Amaw	36.7014	38.0865	city	Num.22.5	gnosis	medium	openbible
Ammah	31.841047	35.279535	mountain	2Sam.2.24	gnosis	medium	openbible
Ammon	31.9547	35.9343	city	Deut.2.19,Deut.2.37,Judg.11.27,Judg.11.33,2Chr.20.10,2Chr.20.22,2Chr.20.23,Neh.13.23,Jer.9.26,Jer.25.21,Jer.27.3,Ezek.25.5	gnosis	medium	openbible
Amphipolis	40.820159	23.847209	city	Acts.17.1	gnosis	medium	openbible
Ananiah	31.771661	35.255903	city	Neh.11.32	gnosis	medium	openbible
Anem	32.713549	35.495439	city	1Chr.6.73	gnosis	medium	openbible
Aner	32.521526	35.219122	city	1Chr.6.70	gnosis	medium	openbible
Angle	31.776667	35.234167	city	2Chr.26.9	gnosis	medium	openbible
Antioch (Syria)	36.226691	36.171743	city	Acts.6.5,Acts.11.19,Acts.11.20,Acts.11.22,Acts.11.26,Acts.11.27,Acts.13.1,Acts.14.26,Acts.15.22,Acts.15.23,Acts.15.30,Acts.15.35,Acts.18.22,Gal.2.11	gnosis	medium	openbible
Antioch (Pisidia)	38.30466	31.19049	city	Acts.13.14,Acts.14.19,Acts.14.21,2Tim.3.11	gnosis	medium	theographic
Aphekah	31.4555	34.9975	city	Josh.15.53	gnosis	medium	openbible
Appii forum	41.46639	12.9975	landmark	Acts.28.15	gnosis	medium	openbible
Arab	31.43188	35.02957	city	Josh.15.52	gnosis	medium	openbible
Arabah	30.416944	35.151389	city	Deut.1.7,Deut.2.8,Deut.3.17,Deut.4.49,Josh.8.14,Josh.11.16,Josh.12.1,Josh.12.3,Josh.18.18,1Sam.23.24,2Sam.2.29,2Sam.4.7,2Kgs.25.4,Jer.39.4,Jer.52.7	gnosis	medium	openbible
Arabia	23	46	region	2Chr.9.14,Isa.21.13,Jer.25.24,Ezek.27.21,Gal.1.17,Gal.4.25	gnosis	medium	openbible
Aram	33.511112	36.30639	city	Num.23.7,2Sam.8.6,2Sam.15.8,1Chr.2.23,Hos.12.12	gnosis	medium	openbible
Aram-maacah	33.2	36.5	city	1Chr.19.6	gnosis	medium	theographic
Aram-naharaim	36.864444	39.032778	region		gnosis	medium	openbible
Aram-zobah	33.519299	36.31344999999999	region		gnosis	medium	theographic
Areopagus	37.972222	23.723611	landmark	Acts.17.19,Acts.17.22,Acts.17.34	gnosis	medium	openbible
Argob	32.9695	36.455383	region	Deut.3.4,Deut.3.13,Deut.3.14,1Kgs.4.13	gnosis	medium	openbible
Ariel	31.776667	35.234167	city	Isa.29.1,Isa.29.2,Isa.29.7	gnosis	medium	openbible
Arimathea	32.028056	35.019444	city	Matt.27.57,Mark.15.43,John.19.38	gnosis	medium	openbible
Armageddon	32.585278	35.184444	city	Rev.16.16	gnosis	medium	openbible
Arnon	31.465833	35.573333	river	Num.21.13,Num.21.14,Num.21.24,Num.21.26,Num.21.28,Num.22.36,Judg.11.13,Judg.11.18,Judg.11.22,Judg.11.26,Isa.16.2,Jer.48.20	gnosis	medium	openbible
Arpad	36.4725	37.094722	city	2Kgs.18.34,2Kgs.19.13,Isa.10.9,Isa.36.19,Isa.37.13,Jer.49.23	gnosis	medium	openbible
Arubboth	32.40731	35.133551	city	1Kgs.4.10	gnosis	medium	openbible
Ashkenaz	44.94278	34.12056	city	Jer.51.27	gnosis	medium	openbible
Ashnah	31.784708	35.006303	city	Josh.15.33,Josh.15.43	gnosis	medium	openbible
Asia	38.4	28.3	region	Acts.2.9,Acts.6.9,Acts.16.6,Acts.19.10,Acts.19.22,Acts.19.26,Acts.19.27,Acts.20.16,Acts.20.18,Acts.21.27,Acts.24.18,Acts.27.2,Rom.16.5,1Cor.16.19,2Cor.1.8,2Tim.1.15,1Pet.1.1,Rev.1.4	gnosis	medium	openbible
Asshur	35.456667	43.2625	city	Num.24.22,Num.24.24,Ps.83.8,Ezek.27.23	gnosis	medium	openbible
Assyria	36.3594	43.1528	region	Gen.10.11,Gen.25.18,2Kgs.15.19,2Kgs.15.20,2Kgs.15.29,2Kgs.16.7,2Kgs.16.8,2Kgs.16.9,2Kgs.16.10,2Kgs.16.18,2Kgs.17.3,2Kgs.17.4,2Kgs.17.5,2Kgs.17.6,2Kgs.17.23,2Kgs.17.24,2Kgs.17.26,2Kgs.17.27,2Kgs.18.7,2Kgs.18.9,2Kgs.18.11,2Kgs.18.13,2Kgs.18.14,2Kgs.18.16,2Kgs.18.17,2Kgs.18.19,2Kgs.18.23,2Kgs.18.28,2Kgs.18.30,2Kgs.18.31,2Kgs.18.33,2Kgs.19.4,2Kgs.19.6,2Kgs.19.8,2Kgs.19.10,2Kgs.19.11,2Kgs.19.17,2Kgs.19.20,2Kgs.19.32,2Kgs.19.36,2Kgs.20.6,2Kgs.23.29,1Chr.5.6,1Chr.5.26,2Chr.28.16,2Chr.28.20,2Chr.28.21,2Chr.30.6,2Chr.32.1,2Chr.32.4,2Chr.32.7,2Chr.32.9,2Chr.32.10,2Chr.32.11,2Chr.32.21,2Chr.32.22,2Chr.33.11,Ezra.4.2,Ezra.6.22,Neh.9.32,Isa.7.17,Isa.7.18,Isa.7.20,Isa.8.4,Isa.8.7,Isa.10.5,Isa.10.12,Isa.11.11,Isa.11.16,Isa.19.23,Isa.19.24,Isa.19.25,Isa.20.1,Isa.20.4,Isa.20.6,Isa.23.13,Isa.27.13,Isa.36.1,Isa.36.2,Isa.36.4,Isa.36.8,Isa.36.13,Isa.36.15,Isa.36.16,Isa.36.18,Isa.37.4,Isa.37.6,Isa.37.8,Isa.37.10,Isa.37.11,Isa.37.18,Isa.37.21,Isa.37.33,Isa.37.37,Isa.38.6,Jer.2.18,Jer.2.36,Jer.50.17,Jer.50.18,Ezek.23.7,Ezek.31.3,Hos.5.13,Hos.7.11,Hos.8.9,Hos.9.3,Hos.10.6,Hos.11.5,Hos.11.11,Hos.12.1,Mic.5.6,Mic.7.12,Nah.3.18,Zeph.2.13,Zech.10.10,Zech.10.11,Gen.2.14	gnosis	medium	openbible
Atad	31.914888	35.530445	city	Gen.50.10,Gen.50.11	gnosis	medium	openbible
Ataroth-addar	31.87993	35.21752	city	Josh.16.5	gnosis	medium	openbible
Athach	31.61593	34.8783	city	1Sam.30.30	gnosis	medium	openbible
Atharim	30.878961	34.779822	city	Num.21.1	gnosis	medium	openbible
Athens	37.971851	23.726738	city	Acts.17.15,Acts.17.16,Acts.17.22,Acts.18.1,1Thess.3.1	gnosis	medium	openbible
Atroth-shophan	31.591311	35.68742	city	Num.32.35	gnosis	medium	openbible
Aven	31.922778	35.241389	city	Hos.10.8	gnosis	medium	openbible
Avith	30.206	35.601921	city	Gen.36.35,1Chr.1.46	gnosis	medium	openbible
Avva	34.684722	36.690556	city	2Kgs.17.24	gnosis	medium	openbible
Avvim	31.916944	35.261111	city	Josh.18.23	gnosis	medium	openbible
Azal	31.760833	35.231667	city	Zech.14.5	gnosis	medium	openbible
Aznoth-tabor	32.727222	35.384444	city	Josh.19.34	gnosis	medium	openbible
Baal	32.049953	35.733402	city	1Chr.4.33	gnosis	medium	theographic
Baal-gad	33.4	35.85	city	Josh.11.17,Josh.12.7,Josh.13.5	gnosis	medium	openbible
Baal-hamon	31.776667	35.234167	city	Song.8.11	gnosis	medium	openbible
Baal-hermon	33.4	35.85	city	1Chr.5.23	gnosis	medium	openbible
Baal-peor	31.777021	35.738498	city	Deut.4.3,Hos.9.10,Ps.106.28	gnosis	medium	openbible
Baal-perazim	31.741854	35.183317	city	2Sam.5.20,1Chr.14.11	gnosis	medium	openbible
Baal-shalishah	32.11031	35.01182	city	2Kgs.4.42	gnosis	medium	openbible
Baal-tamar	31.831498	35.241283	city	Judg.20.33	gnosis	medium	openbible
Baal-zephon	30.860556	32.171389	city	Exod.14.2,Exod.14.9,Num.33.7	gnosis	medium	openbible
Baalah	31.142053	34.91217	city	Josh.15.29	gnosis	medium	openbible
Baalah	31.771104	34.993812	city	Josh.15.9,Josh.15.10,1Chr.13.6	gnosis	medium	theographic
Baalath	31.838514	34.78225	city	Josh.19.44	gnosis	medium	openbible
Baalath	31.927451	35.055378	city	1Kgs.9.18,2Chr.8.6	gnosis	medium	theographic
Baale-judah	31.808957	35.10378	city	2Sam.6.2	gnosis	medium	openbible
